id,content,question_type,options,answer,analysis,category,sub_categories,knowledge_points,difficulty,estimated_time,source
Q001,已知函数$f(x)=x^3-3x^2+2$，求$f'(x)$。,填空题,"[]","f'(x)=3x^2-6x","利用幂函数求导法则：$(x^n)'=nx^{n-1}$，分别对$x^3$、$-3x^2$、$2$求导即可。","导数","导数计算","[""导数定义"",""基本求导公式""]",1,3,seed
Q002,求函数$f(x)=e^x\sin x$的导数$f'(x)$。,选择题,"[""A. e^x\sin x+e^x\cos x"",""B. e^x\sin x-e^x\cos x"",""C. e^x\cos x"",""D. e^x\sin x+e^x"""","A","利用乘法法则：$(uv)'=u'v+uv'$，其中$u=e^x$，$v=\sin x$。","导数","导数计算","[""乘法法则"",""复合函数求导""]",2,3,seed
Q003,已知$f(x)=\ln(x^2+1)$，求$f'(x)$。,填空题,"[]","f'(x)=2x/(x^2+1)","利用链式法则：设$u=x^2+1$，则$f(u)=\ln u$，$f'(x)=\frac{1}{u}\cdot u'=\frac{2x}{x^2+1}$。","导数","导数计算","[""链式法则"",""对数函数求导""]",3,3,seed
Q004,求函数$f(x)=\frac{x^2+1}{x-1}$的导数。,填空题,"[]","f'(x)=(x^2-2x-1)/(x-1)^2","利用商法则：$(u/v)'=(u'v-uv')/v^2$，其中$u=x^2+1$，$v=x-1$。","导数","导数计算","[""商法则"",""导数应用""]",4,5,seed
Q005,已知$f(x)=\sin(2x+\frac{\pi}{3})$，求$f'(x)$。,填空题,"[]","f'(x)=2\cos(2x+\pi/3)","链式法则：先对外层三角函数求导，再对内层$2x+\pi/3$求导。","导数","导数计算","[""链式法则"",""三角函数求导""]",2,3,seed
Q006,若$f(x)$在$x=1$处可导，且$\lim_{h\to 0}\frac{f(1+h)-f(1)}{h}=3$，则$f'(1)=$？,填空题,"[]","3","根据导数定义，$f'(x_0)=\lim_{h\to 0}\frac{f(x_0+h)-f(x_0)}{h}$。","导数","导数定义","[""导数定义"",""极限""]",1,3,seed
Q007,解不等式$2x^2-5x+2<0$。,选择题,"[""A. {x|x<1/2 或 x>2}"",""B. {x|1/2<x<2}"",""C. {x|x<2}"",""D. {x|x>1/2}""]","B","先解方程$2x^2-5x+2=0$得$x=1/2$或$x=2$，画二次函数图像，开口向上，小于0取中间。","不等式","一元二次不等式","[""一元二次不等式"",""二次函数""]",2,3,seed
Q008,解不等式$\frac{x-2}{x+1}>0$。,填空题,"[]","x<-1 或 x>2","分式不等式通过数轴标根法解决：分子零点$x=2$，分母零点$x=-1$。","不等式","分式不等式","[""分式不等式"",""数轴标根""]",3,4,seed
Q009,已知$a>0,b>0$，且$a+b=4$，求$ab$的最大值。,填空题,"[]","4","由均值不等式：$ab\leq(\frac{a+b}{2})^2=4$，当$a=b=2$时取等号。","不等式","均值不等式","[""基本不等式"",""最值问题""]",3,3,seed
Q010,已知集合$A=\{x|x^2-3x+2=0\}$，$B=\{x|0<x<5,x\in N\}$，求$A\cap B$。,填空题,"[]","{1,2}","解方程得$A=\{1,2\}$，$B=\{1,2,3,4\}$，交集为$\{1,2\}$。","集合","集合运算","[""集合运算"",""一元二次方程""]",1,3,seed
Q011,已知全集$U=\{1,2,3,4,5\}$，$A=\{1,2,3\}$，$B=\{2,3,4\}$，求$\complement_U(A\cap B)$。,填空题,"[]","{1,4,5}","先求交集$A\cap B=\{2,3\}$，再求补集。","集合","集合运算","[""集合运算"",""补集""]",2,3,seed
Q012,判断命题"若$x>1$，则$x^2>1$"的逆否命题。,选择题,"[""A. 若$x^2>1$，则$x>1$"",""B. 若$x^2\leq 1$，则$x\leq 1$"",""C. 若$x\leq 1$，则$x^2\leq 1$"",""D. 若$x^2>1$，则$x\leq 1$""]","B","原命题"若p则q"的逆否命题是"若非q则非p"。","集合","命题逻辑","[""命题"",""逆否命题""]",2,3,seed
Q013,在$\triangle ABC$中，已知$a=3$，$b=4$，$\cos C=\frac{1}{3}$，求$c$。,填空题,"[]","c=√17","由余弦定理：$c^2=a^2+b^2-2ab\cos C=9+16-2\times3\times4\times\frac{1}{3}=17$。","三角函数","解三角形","[""余弦定理"",""解三角形""]",3,4,seed
Q014,在$\triangle ABC$中，已知$\sin A:\sin B:\sin C=3:4:5$，求$\cos A$。,填空题,"[]","4/5","由正弦定理，$a:b:c=\sin A:\sin B:\sin C=3:4:5$，设$a=3k,b=4k,c=5k$，由余弦定理：$\cos A=\frac{b^2+c^2-a^2}{2bc}=\frac{16k^2+25k^2-9k^2}{40k^2}=\frac{4}{5}$。","三角函数","解三角形","[""正弦定理"",""余弦定理""]",4,5,seed
Q015,求$\sin 75^\circ$的值。,填空题,"[]","(√6+√2)/4","$\sin 75^\circ=\sin(45^\circ+30^\circ)=\sin 45^\circ\cos 30^\circ+\cos 45^\circ\sin 30^\circ$。","三角函数","三角恒等变换","[""两角和公式"",""特殊角三角函数值""]",1,3,seed
Q016,已知$\sin\alpha=\frac{3}{5}$，$\alpha\in(0,\frac{\pi}{2})$，求$\cos 2\alpha$。,填空题,"[]","7/25","$\cos 2\alpha=1-2\sin^2\alpha=1-2\times(\frac{3}{5})^2=\frac{7}{25}$。","三角函数","三角恒等变换","[""二倍角公式"",""同角三角函数""]",2,3,seed
Q017,求$\lim_{x\to 0}\frac{\sin 3x}{x}$。,填空题,"[]","3","利用重要极限：$\lim_{x\to 0}\frac{\sin x}{x}=1$，$\lim_{x\to 0}\frac{\sin 3x}{x}=3\cdot\lim_{x\to 0}\frac{\sin 3x}{3x}=3$。","极限","极限计算","[""重要极限"",""极限运算""]",2,3,seed
Q018,求$\lim_{x\to 1}\frac{x^2-1}{x-1}$。,填空题,"[]","2","$\lim_{x\to 1}\frac{x^2-1}{x-1}=\lim_{x\to 1}\frac{(x-1)(x+1)}{x-1}=\lim_{x\to 1}(x+1)=2$。","极限","极限计算","[""极限运算"",""因式分解""]",1,3,seed
Q019,已知数列$\{a_n\}$中，$a_1=2$，$a_{n+1}=2a_n+1$，求$a_5$。,填空题,"[]","47","递推：$a_2=5$，$a_3=11$，$a_4=23$，$a_5=47$。","数列","递推数列","[""递推数列"",""数列通项""]",2,3,seed
Q020,在等差数列$\{a_n\}$中，已知$a_3=7$，$a_7=19$，求$a_{10}$。,填空题,"[]","28","$d=\frac{a_7-a_3}{7-3}=\frac{12}{4}=3$，$a_{10}=a_7+3d=19+9=28$。","数列","等差数列","[""等差数列"",""通项公式""]",3,4,seed
